Season,Team,W/L%
1996,ORL,0.732
1995,ORL,0.695
1994,ORL,0.61
1993,ORL,0.5
1992,ORL,0.256
1991,ORL,0.378
1990,ORL,0.22
2022,ATL,0.524
2021,ATL,0.569
2020,ATL,0.299
2019,ATL,0.354
2018,ATL,0.293
2017,ATL,0.524
2016,ATL,0.585
2015,ATL,0.732
2014,ATL,0.463
2013,ATL,0.537
2012,ATL,0.606
2011,ATL,0.537
2010,ATL,0.646
2009,ATL,0.573
2008,ATL,0.451
2007,ATL,0.366
2006,ATL,0.317
2005,ATL,0.159
2004,ATL,0.341
2003,ATL,0.427
2002,ATL,0.402
2001,ATL,0.305
2000,ATL,0.341
1999,ATL,0.62
1998,ATL,0.61
1997,ATL,0.683
1996,ATL,0.561
1995,ATL,0.512
1994,ATL,0.695
1993,ATL,0.524
1992,ATL,0.463
1991,ATL,0.524
1990,ATL,0.5
1989,ATL,0.634
1988,ATL,0.61
1987,ATL,0.695
1986,ATL,0.61
1985,ATL,0.415
1984,ATL,0.488
1983,ATL,0.524
1982,ATL,0.512
1981,ATL,0.378
1980,ATL,0.61
1979,ATL,0.561
1978,ATL,0.5
1977,ATL,0.378
1976,ATL,0.354
1975,ATL,0.378
1974,ATL,0.427
1973,ATL,0.561
1972,ATL,0.439
1971,ATL,0.439
1970,ATL,0.585
1969,ATL,0.585
1968,STL,0.683
1967,STL,0.481
1966,STL,0.45
1965,STL,0.563
1964,STL,0.575
1963,STL,0.6
1962,STL,0.363
1961,STL,0.646
1960,STL,0.613
1959,STL,0.681
1958,STL,0.569
1957,STL,0.472
1956,STL,0.458
1955,MLH,0.361
1954,MLH,0.292
1953,MLH,0.38
1952,MLH,0.258
1951,TRI,0.368
1950,TRI,0.453
2022,HOU,0.244
2021,HOU,0.236
2020,HOU,0.611
2019,HOU,0.646
2018,HOU,0.793
2017,HOU,0.671
2016,HOU,0.5
2015,HOU,0.683
2014,HOU,0.659
2013,HOU,0.549
2012,HOU,0.515
2011,HOU,0.524
2010,HOU,0.512
2009,HOU,0.646
2008,HOU,0.671
2007,HOU,0.634
2006,HOU,0.415
2005,HOU,0.622
2004,HOU,0.549
2003,HOU,0.524
2002,HOU,0.341
2001,HOU,0.549
2000,HOU,0.415
1999,HOU,0.62
1998,HOU,0.5
1997,HOU,0.695
1996,HOU,0.585
1995,HOU,0.573
1994,HOU,0.707
1993,HOU,0.671
1992,HOU,0.512
1991,HOU,0.634
1990,HOU,0.5
1989,HOU,0.549
1988,HOU,0.561
1987,HOU,0.512
1986,HOU,0.622
1985,HOU,0.585
1984,HOU,0.354
1983,HOU,0.171
1982,HOU,0.561
1981,HOU,0.488
1980,HOU,0.5
1979,HOU,0.573
1978,HOU,0.341
1977,HOU,0.598
1976,HOU,0.488
1975,HOU,0.5
1974,HOU,0.39
1973,HOU,0.402
1972,HOU,0.415
1971,SDR,0.488
1970,SDR,0.329
1969,SDR,0.451
1968,SDR,0.183
2022,SAS,0.415
2021,SAS,0.458
2020,SAS,0.451
2019,SAS,0.585
2018,SAS,0.573
2017,SAS,0.744
2016,SAS,0.817
2015,SAS,0.671
2014,SAS,0.756
2013,SAS,0.707
2012,SAS,0.758
2011,SAS,0.744
2010,SAS,0.61
2009,SAS,0.659
2008,SAS,0.683
2007,SAS,0.707
2006,SAS,0.768
2005,SAS,0.72
2004,SAS,0.695
2003,SAS,0.732
2002,SAS,0.707
2001,SAS,0.707
2000,SAS,0.646
1999,SAS,0.74
1998,SAS,0.683
1997,SAS,0.244
1996,SAS,0.72
1995,SAS,0.756
1994,SAS,0.671
1993,SAS,0.598
1992,SAS,0.573
1991,SAS,0.671
1990,SAS,0.683
1989,SAS,0.256
1988,SAS,0.378
1987,SAS,0.341
1986,SAS,0.427
1985,SAS,0.5
1984,SAS,0.451
1983,SAS,0.646
1982,SAS,0.585
1981,SAS,0.634
1980,SAS,0.5
1979,SAS,0.585
1978,SAS,0.634
1977,SAS,0.537
2022,NOP,0.439
2021,NOP,0.431
2020,NOP,0.417
2019,NOP,0.402
2018,NOP,0.585
2017,NOP,0.415
2016,NOP,0.366
2015,NOP,0.549
2014,NOP,0.415
2013,NOH,0.329
2012,NOH,0.318
2011,NOH,0.561
2010,NOH,0.451
2009,NOH,0.598
2008,NOH,0.683
2007,NOK,0.476
2006,NOK,0.463
2005,NOH,0.22
2004,NOH,0.5
2003,NOH,0.573
2022,DAL,0.634
2021,DAL,0.583
2020,DAL,0.573
2019,DAL,0.402
2018,DAL,0.293
2017,DAL,0.402
2016,DAL,0.512
2015,DAL,0.61
2014,DAL,0.598
2013,DAL,0.5
2012,DAL,0.545
2011,DAL,0.695
2010,DAL,0.671
2009,DAL,0.61
2008,DAL,0.622
2007,DAL,0.817
2006,DAL,0.732
2005,DAL,0.707
2004,DAL,0.634
2003,DAL,0.732
2002,DAL,0.695
2001,DAL,0.646
2000,DAL,0.488
1999,DAL,0.38
1998,DAL,0.244
1997,DAL,0.293
1996,DAL,0.317
1995,DAL,0.439
1994,DAL,0.159
1993,DAL,0.134
1992,DAL,0.268
1991,DAL,0.341
1990,DAL,0.573
1989,DAL,0.463
1988,DAL,0.646
1987,DAL,0.671
1986,DAL,0.537
1985,DAL,0.537
1984,DAL,0.524
1983,DAL,0.463
1982,DAL,0.341
1981,DAL,0.183
2022,MEM,0.683
2021,MEM,0.528
2020,MEM,0.466
2019,MEM,0.402
2018,MEM,0.268
2017,MEM,0.524
2016,MEM,0.512
2015,MEM,0.671
2014,MEM,0.61
2013,MEM,0.683
2012,MEM,0.621
2011,MEM,0.561
2010,MEM,0.488
2009,MEM,0.293
2008,MEM,0.268
2007,MEM,0.268
2006,MEM,0.598
2005,MEM,0.549
2004,MEM,0.61
2003,MEM,0.341
2002,MEM,0.28
2001,VAN,0.28
2000,VAN,0.268
1999,VAN,0.16
1998,VAN,0.232
1997,VAN,0.171
1996,VAN,0.183
